download_ID,species,decimallongitude,decimallatitude,year
bien_120,Loudetia simplex,35.125,-8.625,1989
bien_121,Loudetia simplex,34.809317,-19.718926,1943
bien_122,Loudetia simplex,35.125,-8.625,1989
bien_123,Loudetia simplex,30.93,-6.05,2006
bien_124,Loudetia simplex,23.25,9.16666,1989
bien_125,Loudetia simplex,-5.66667,11.7,1965
bien_126,Loudetia simplex,35.45,-8.52,2006
bien_127,Loudetia simplex,34.375,-9.375,2003
bien_128,Loudetia simplex,37.0576,-10.7664,2012
bien_129,Loudetia simplex,35.17,-8.52,2006
bien_130,Loudetia simplex,35.375,-8.625,1987
bien_131,Loudetia simplex,37.21666,-7.23333,1984
bien_132,Loudetia simplex,30.875,-24.625,1976
bien_133,Loudetia simplex,46.42196,-20.56533,2016
bien_134,Loudetia simplex,45.35475,-22.600472,2017
bien_135,Loudetia simplex,30.125,-25.375,1983
bien_136,Loudetia simplex,46.57196,-20.61739,2016
bien_137,Loudetia simplex,21.2,8.76666,1983
bien_138,Loudetia simplex,46.417278,-20.56975,2016
bien_139,Loudetia simplex,46.42256,-20.56726,2016
bien_140,Loudetia simplex,44.533333,-22.9,1956
bien_141,Loudetia simplex,30.875,-25.125,1979
bien_142,Loudetia simplex,28.125,-26.625,1972
bien_143,Loudetia simplex,45.368889,-22.614444,1975
bien_144,Loudetia simplex,31.125,-25.875,1930
bien_145,Loudetia simplex,31.125,-25.875,1992
bien_146,Loudetia simplex,47.740159,-18.751506,1954
bien_147,Loudetia simplex,45.223306,-22.695856,1962
bien_148,Loudetia simplex,30.375,-25.625,1954
bien_149,Loudetia simplex,32.375,-26.875,1986
bien_150,Loudetia simplex,46.812083,-20.576278,2014
bien_151,Loudetia simplex,45.25,-22.75,1951
bien_152,Loudetia simplex,30.875,-24.875,1990
bien_153,Loudetia simplex,47.2,-19.416667,1957
bien_154,Loudetia simplex,30.625,-25.125,1986
bien_155,Loudetia simplex,31.125,-25.125,1949
bien_156,Loudetia simplex,45.368889,-22.614444,1951
bien_157,Loudetia simplex,31.125,-25.125,1976
bien_158,Loudetia simplex,29.375,-29.125,1942
bien_159,Loudetia simplex,46.57205,-20.61791,2016
bien_160,Loudetia simplex,30.375,-25.375,1997
bien_161,Loudetia simplex,30.125,-29.375,1905
bien_162,Loudetia simplex,30.875,-24.625,1976
bien_163,Loudetia simplex,45.25,-22.75,1931
bien_164,Loudetia simplex,45.359444,-22.564722,1955
bien_165,Loudetia simplex,47.373056,-18.695278,1954
bien_166,Loudetia simplex,31.125,-27.625,1997
bien_167,Loudetia simplex,46.083333,-18.416667,1955
bien_168,Loudetia simplex,47.1,-21.8,1964
bien_169,Loudetia simplex,30.875,-24.875,1976
bien_170,Loudetia simplex,45.842833,-22.452667,2014
bien_171,Loudetia simplex,28.375,-26.375,1970
bien_172,Loudetia simplex,46.81,-20.604167,1958
bien_173,Loudetia simplex,30.375,-25.625,1908
bien_174,Loudetia simplex,21.18333,8.5,1983
bien_175,Loudetia simplex,46.833333,-18.416667,1955
bien_176,Loudetia simplex,28.125,-26.125,1919
bien_177,Loudetia simplex,47.29,-18.6352777,2012
bien_178,Loudetia simplex,28.375,-24.375,1946
bien_179,Loudetia simplex,45.833333,-22.416667,NA
bien_180,Loudetia simplex,28.125,-25.625,1936
bien_181,Loudetia simplex,46.575444,-20.605528,2016
bien_182,Loudetia simplex,31.125,-27.375,1976
bien_183,Loudetia simplex,30.125,-22.875,1932
bien_184,Loudetia simplex,30.625,-25.125,1979
bien_185,Loudetia simplex,30.125,-25.625,1976
bien_186,Loudetia simplex,47.516667,-18.916667,1955
bien_187,Loudetia simplex,46.95,-19.4,1957
bien_188,Loudetia simplex,30.875,-24.875,1976
bien_189,Loudetia simplex,-4.766667,10.633333,1989
bien_190,Loudetia simplex,46.04,-22.413889,1975
bien_191,Loudetia simplex,1.289167,10.36,1999
bien_192,Loudetia simplex,28.125,-25.875,1922
bien_193,Loudetia simplex,45.833333,-22.416667,1966
bien_194,Loudetia simplex,29.625,-22.875,2003
bien_195,Loudetia simplex,46.403058,-20.555997,2016
bien_196,Loudetia simplex,30.125,-28.125,NA
bien_197,Loudetia simplex,27.875,-24.875,1991
bien_198,Loudetia simplex,46.578611,-20.512222,2013
bien_199,Loudetia simplex,47.126861,-17.965639,2017
bien_200,Loudetia simplex,28.125,-26.125,1995
bien_201,Loudetia simplex,46.833333,-19.933333,1912
bien_202,Loudetia simplex,47.740159,-18.751506,1954
bien_203,Loudetia simplex,32.625,-18.875,1969
bien_204,Loudetia simplex,27.125,-26.625,1979
bien_205,Loudetia simplex,29.625,-29.375,1980
bien_206,Loudetia simplex,28.625,-24.625,1931
bien_207,Loudetia simplex,30.875,-24.875,1937
bien_208,Loudetia simplex,45.35,-22.55,1990
bien_209,Loudetia simplex,46.35,-22.2,1975
bien_210,Loudetia simplex,46.633333,-20.583333,1984
bien_211,Loudetia simplex,30.125,-25.625,1976
bien_212,Loudetia simplex,30.125,-25.625,1954
bien_213,Loudetia simplex,30.125,-24.125,1986
bien_214,Loudetia simplex,46.466667,-17.866667,1964
bien_215,Loudetia simplex,45.773083,-22.4805,2017
bien_216,Loudetia simplex,30.625,-25.375,1975
bien_217,Loudetia simplex,45.4,-22.55,1956
bien_218,Loudetia simplex,45.833333,-22.416667,1965
bien_219,Loudetia simplex,31.125,-25.875,1930
bien_220,Loudetia simplex,31.125,-25.875,1992
bien_221,Loudetia simplex,47.545666,-19.078289,1956
bien_222,Loudetia simplex,30.375,-26.625,1936
bien_223,Loudetia simplex,28.875,-24.375,1972
bien_224,Loudetia simplex,46.416139,-20.570722,2016
bien_225,Loudetia simplex,47.155556,-20.759722,2016
bien_226,Loudetia simplex,30.125,-25.125,1893
bien_227,Loudetia simplex,31.125,-25.875,1987
bien_228,Loudetia simplex,30.875,-25.125,2005
bien_229,Loudetia simplex,30.125,-29.375,1895
bien_230,Loudetia simplex,45.773083,-22.4805,2017
bien_231,Loudetia simplex,47.383333,-20.233333,1961
bien_232,Loudetia simplex,47.311944,-18.728333,1962
bien_233,Loudetia simplex,31.125,-25.875,1993
bien_234,Loudetia simplex,30.125,-24.875,1986
bien_235,Loudetia simplex,46.583222,-20.581833,2016
bien_236,Loudetia simplex,30.125,-23.875,1946
bien_237,Loudetia simplex,30.125,-29.375,1980
bien_238,Loudetia simplex,47.551681,-19.643908,NA
bien_239,Loudetia simplex,30.625,-24.875,1980
bien_240,Loudetia simplex,45.357611,-22.622194,2017
bien_241,Loudetia simplex,46.57205,-20.61791,2016
bien_242,Loudetia simplex,46.417278,-20.56975,2016
bien_243,Loudetia simplex,27.875,-25.625,1978
bien_244,Loudetia simplex,35.16666,-8.51666,1989
bien_245,Loudetia simplex,1.503333,10.1025,2001
bien_246,Loudetia simplex,30.625,-25.625,1979
bien_247,Loudetia simplex,46.407944,-20.546,2016
bien_248,Loudetia simplex,30.125,-29.375,1905
bien_249,Loudetia simplex,47.116667,-20.65,1934
bien_250,Loudetia simplex,45.357611,-22.622444,2017
bien_251,Loudetia simplex,29.375,-30.125,1992
bien_252,Loudetia simplex,30.625,-24.875,2005
bien_253,Loudetia simplex,46.424972,-20.555806,2016
bien_254,Loudetia simplex,31.125,-27.375,1975
bien_255,Loudetia simplex,45.182778,-22.552222,1956
bien_256,Loudetia simplex,45.349889,-22.584472,2017
bien_257,Loudetia simplex,47.15,-20.25,1967
bien_258,Loudetia simplex,47.513509,-19.149753,1962
bien_259,Loudetia simplex,30.875,-24.625,1976
bien_260,Loudetia simplex,45.349528,-22.626722,2014
bien_261,Loudetia simplex,30.375,-26.375,1984
bien_262,Loudetia simplex,46.41724,-20.56937,2016
bien_263,Loudetia simplex,46.577389,-20.605056,2016
bien_264,Loudetia simplex,30.125,-29.375,1964
bien_265,Loudetia simplex,46.844047,-20.629523,2018
bien_266,Loudetia simplex,21.23333,8.48333,1983
bien_267,Loudetia simplex,44.533333,-22.9,1956
bien_268,Loudetia simplex,45.359444,-22.564722,1955
bien_269,Loudetia simplex,30.625,-25.375,1979
bien_270,Loudetia simplex,45.25,-22.75,1956
bien_271,Loudetia simplex,29.875,-23.875,1974
bien_272,Loudetia simplex,45.223306,-22.695856,1962
bien_273,Loudetia simplex,44.516667,-22.45,1967
bien_274,Loudetia simplex,46.618694,-20.614056,2013
bien_275,Loudetia simplex,46.378744,-22.012156,1956
bien_276,Loudetia simplex,46.42398,-20.55703,2016
bien_277,Loudetia simplex,45.349889,-22.584472,2017
bien_278,Loudetia simplex,30.125,-22.875,1971
bien_279,Loudetia simplex,28.625,-24.375,1983
bien_280,Loudetia simplex,45.25,-22.75,1971
bien_281,Loudetia simplex,46.573861,-20.612139,2014
bien_282,Loudetia simplex,29.375,-29.125,1967
bien_283,Loudetia simplex,28.625,-25.625,1985
bien_284,Loudetia simplex,29.125,-25.625,1979
bien_285,Loudetia simplex,45.25,-22.75,1964
bien_286,Loudetia simplex,46.95,-19.4,1957
